City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
108,Ballina,-28.8667,153.5667,78.01,77,12,9.1,AU,few clouds
109,Blagoyevo,63.3667,47.9167,17.53,91,18,5.59,RU,few clouds
110,Muros,42.7762,-9.0603,48.83,94,3,4.97,ES,clear sky
111,Alofi,-19.0595,-169.9187,79.18,75,69,20.07,NU,light rain
112,Ambilobe,-13.2,49.05,71.26,96,95,2.73,MG,overcast clouds
113,Punta Arenas,-53.15,-70.9167,33.12,59,4,18.37,CL,clear sky
114,Barcelos,41.5388,-8.6151,54.84,95,2,3.42,PT,clear sky
115,Aklavik,68.2191,-135.0107,19.72,82,100,9.1,CA,overcast clouds
116,Linqiong,30.4159,103.4609,66.63,79,100,11.81,CN,overcast clouds
117,Linxia,35.6003,103.2064,51.58,48,0,3.36,CN,clear sky
118,Carnarvon,-24.8667,113.6333,71.04,62,29,15.97,AU,scattered clouds
119,Bar Harbor,44.3876,-68.2039,46.53,90,100,14.0,US,overcast clouds
120,Ancud,-41.8697,-73.8203,45.55,77,36,10.54,CL,scattered clouds
121,Corner Brook,48.9667,-57.9484,42.96,96,100,3.06,CA,overcast clouds
122,Saint George,37.1041,-113.5841,81.25,12,70,5.99,US,broken clouds
123,Jacmel,18.2342,-72.5347,74.77,79,13,1.63,HT,few clouds
124,Balakovo,52.0278,47.8007,50.68,86,1,11.52,RU,clear sky
125,Skegness,53.1436,0.3363,47.57,65,89,11.77,GB,overcast clouds
126,Almeirim,-1.5233,-52.5817,75.11,96,100,2.86,BR,light rain
127,Kieta,-6.2167,155.6333,86.63,63,15,5.23,PG,few clouds
128,Ranong,9.9658,98.6348,86.47,73,98,2.3,TH,overcast clouds
129,Katherine,-14.4667,132.2667,89.92,55,100,5.75,AU,overcast clouds
130,Mandera,3.9366,41.867,77.86,77,63,8.21,KE,broken clouds
131,Bandarbeyla,9.4942,50.8122,80.82,80,96,3.51,SO,overcast clouds
132,Saint-Philippe,-21.3585,55.7679,72.21,78,0,2.44,RE,clear sky
133,Sobolevo,54.4299,31.8996,36.16,74,99,4.18,RU,overcast clouds
134,Camacupa,-12.0167,17.4833,58.62,83,9,3.18,AO,clear sky
135,Tamandare,-8.7597,-35.1047,77.22,82,100,4.18,BR,overcast clouds
136,Bure,10.7,37.0667,63.93,47,98,3.94,ET,overcast clouds
137,Voskresenskoye,56.8381,45.4317,35.49,93,100,10.07,RU,overcast clouds
138,Sarankhola,22.3082,89.7897,88.95,56,5,8.14,BD,clear sky
139,Kenai,60.5544,-151.2583,53.02,75,47,7.0,US,scattered clouds
140,Dikson,73.5069,80.5464,18.07,90,55,21.81,RU,broken clouds
141,San Patricio,28.017,-97.5169,75.83,81,38,10.13,US,scattered clouds
142,Sorong,-0.8833,131.25,78.6,88,100,3.83,ID,light rain
143,Vila Franca Do Campo,37.7167,-25.4333,67.19,94,100,19.24,PT,overcast clouds
144,Aleksandrovskiy Zavod,50.9237,117.9374,43.79,22,100,14.97,RU,overcast clouds
145,Tuktoyaktuk,69.4541,-133.0374,15.4,89,100,5.48,CA,overcast clouds
146,Axim,4.8699,-2.2405,79.14,85,100,4.76,GH,light rain
147,Kargasok,59.0556,80.8572,50.11,70,100,14.18,RU,overcast clouds
148,Yellowknife,62.456,-114.3525,44.04,77,25,9.26,CA,scattered clouds
149,Pisco,-13.7,-76.2167,66.02,86,100,0.69,PE,overcast clouds
150,Bengkulu,-3.8004,102.2655,81.1,78,91,0.96,ID,overcast clouds
151,Miles City,46.4083,-105.8406,55.29,55,54,11.34,US,broken clouds
152,Ilulissat,69.2167,-51.1,32.02,86,100,0.0,GL,overcast clouds
153,Iuna,-20.3458,-41.5358,62.17,79,3,1.99,BR,clear sky
154,Sabha,27.0377,14.4283,75.69,10,0,7.02,LY,clear sky
155,Lebu,-37.6167,-73.65,49.33,75,24,0.67,CL,few clouds
156,Sept-Iles,50.2001,-66.3821,35.06,68,100,5.01,CA,overcast clouds
157,Togul,53.465,85.9128,51.33,52,6,6.82,RU,clear sky
158,Sumbe,-11.2061,13.8437,75.99,90,78,8.66,AO,broken clouds
159,Avarua,-21.2078,-159.775,84.25,79,20,9.22,CK,few clouds
160,Victoria,22.2855,114.1577,87.96,82,18,11.01,HK,few clouds
161,Peace River,56.2501,-117.286,38.91,98,100,1.77,CA,light rain
162,Salekhard,66.53,66.6019,20.03,88,99,5.46,RU,overcast clouds
163,Coquimbo,-29.9533,-71.3436,60.73,75,0,7.31,CL,clear sky
164,Keti Bandar,24.1447,67.4497,81.99,79,0,11.68,PK,clear sky
165,Ilo,-17.6394,-71.3375,66.76,84,68,6.58,PE,broken clouds
166,Hohhot,40.8106,111.6522,48.94,56,39,3.96,CN,scattered clouds
167,Atar,20.5169,-13.0499,72.09,24,0,9.06,MR,clear sky
168,Mirnyy,62.5353,113.9611,37.24,32,93,8.99,RU,overcast clouds
169,Batsfjord,70.6345,29.7185,19.18,93,100,16.11,NO,overcast clouds
170,Mayor Pablo Lagerenza,-19.9309,-60.7718,86.65,44,4,11.16,PY,clear sky
171,Millbrook,32.4799,-86.3619,64.33,65,0,0.0,US,clear sky
172,Del Rio,29.3627,-100.8968,78.24,61,93,7.0,US,overcast clouds
173,Ardakan,32.31,54.0175,67.33,37,58,9.73,IR,broken clouds
174,Sao Joao Da Barra,-21.6403,-41.0511,75.54,86,0,11.43,BR,clear sky
175,Lagos,6.5833,3.75,77.18,89,100,9.13,NG,overcast clouds
176,Barra Patuca,15.8,-84.2833,77.23,84,63,6.71,HN,broken clouds
177,Chancay,-11.5714,-77.2672,66.31,90,100,3.78,PE,overcast clouds
178,Tasiilaq,65.6145,-37.6368,32.16,85,81,6.33,GL,broken clouds
179,Aberdeen,57.1437,-2.0981,38.5,87,8,2.3,GB,clear sky
180,Doha,25.2867,51.5333,78.78,57,0,6.91,QA,clear sky
181,Ussel,45.55,2.3167,46.36,82,80,1.12,FR,broken clouds
182,Port Alfred,-33.5906,26.891,60.24,71,0,7.05,ZA,clear sky
183,Faya,18.3851,42.4509,63.72,40,0,4.63,SA,clear sky
184,Fairmont,39.4851,-80.1426,40.24,70,8,7.34,US,clear sky
185,San Matias,-16.3667,-58.4,79.48,56,55,5.28,BO,broken clouds
186,Cidreira,-30.1811,-50.2056,70.9,95,11,3.85,BR,few clouds
187,Bilma,18.6853,12.9164,85.66,11,0,8.21,NE,clear sky
188,Acajutla,13.5928,-89.8275,83.68,72,91,6.22,SV,overcast clouds
189,Daru,-9.0763,143.2092,83.66,74,45,8.97,PG,scattered clouds
190,Chake Chake,-5.2459,39.7666,75.97,89,100,6.78,TZ,moderate rain
191,Saldanha,-33.0117,17.9442,50.05,72,0,11.92,ZA,clear sky
192,Olaine,56.7853,23.9381,24.76,100,0,1.14,LV,clear sky
193,Souillac,-20.5167,57.5167,70.18,94,20,5.75,MU,few clouds
194,Thompson,55.7435,-97.8558,42.96,28,20,8.05,CA,few clouds
195,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,73.27,97,73,0.58,BR,broken clouds
196,Pundaguitan,6.3711,126.1689,80.13,77,97,2.06,PH,overcast clouds
197,Araouane,18.9048,-3.5265,74.08,15,0,6.29,ML,clear sky
198,Rio Grande,-32.035,-52.0986,62.94,89,96,5.55,BR,overcast clouds
199,Oil City,41.4339,-79.7064,31.77,80,100,9.22,US,overcast clouds
200,Maloy,61.9353,5.1136,42.53,92,100,13.94,NO,overcast clouds
201,Dingle,10.9995,122.6711,84.38,74,100,11.32,PH,overcast clouds
202,Shreveport,32.5251,-93.7502,64.15,69,0,4.61,US,clear sky
203,Narsaq,60.9167,-46.05,41.22,86,100,3.87,GL,light rain
204,Puerto Baquerizo Moreno,-0.9,-89.6,72.09,87,4,6.98,EC,clear sky
205,Vostok,46.4856,135.8833,41.86,48,41,15.01,RU,scattered clouds
206,Maralal,1.0968,36.698,58.35,89,97,4.07,KE,overcast clouds
207,Namibe,-15.1961,12.1522,72.66,74,39,3.22,AO,scattered clouds
208,Sola,-13.8833,167.55,80.67,77,91,12.8,VU,moderate rain
209,Monrovia,6.3005,-10.7969,79.72,82,41,3.62,LR,scattered clouds
210,Menton,43.7765,7.5044,62.55,65,49,5.55,FR,scattered clouds
211,Saint-Francois,46.4154,3.9054,41.68,93,0,4.61,FR,clear sky
212,Port Elizabeth,-33.918,25.5701,53.89,100,0,2.3,ZA,clear sky
213,Boende,-0.2167,20.8667,69.49,98,71,0.43,CD,broken clouds
214,Hualmay,-11.0964,-77.6139,66.36,89,100,7.29,PE,overcast clouds
215,Ormara,25.2088,64.6357,82.67,79,5,11.1,PK,clear sky
216,Moerai,-22.4333,-151.3333,79.81,77,11,14.7,PF,few clouds
217,Cuamba,-14.8031,36.5372,64.02,84,66,8.48,MZ,broken clouds
218,Clyde River,70.4692,-68.5914,-3.73,98,36,4.94,CA,scattered clouds
219,Vilhena,-12.7406,-60.1458,70.99,71,31,2.98,BR,scattered clouds
220,Nyanza,-2.3519,29.7509,56.3,95,95,1.88,RW,overcast clouds
221,Codrington,-38.2667,141.9667,71.22,61,100,13.87,AU,overcast clouds
222,Bonthe,7.5264,-12.505,80.04,84,100,4.85,SL,overcast clouds
223,Sarangani,5.4033,125.4636,80.92,80,78,13.04,PH,broken clouds
224,Eseka,3.65,10.7667,70.84,99,100,1.01,CM,overcast clouds
225,Bambous Virieux,-20.3428,57.7575,73.22,94,20,5.75,MU,few clouds
226,Esperance,-33.8667,121.9,63.88,59,0,23.0,AU,clear sky
227,Upernavik,72.7868,-56.1549,29.14,96,100,7.67,GL,overcast clouds
228,Alihe,50.5667,123.7167,48.96,18,2,6.26,CN,clear sky
229,Asheboro,35.7079,-79.8136,59.25,54,0,0.0,US,clear sky
230,Klaksvik,62.2266,-6.589,43.72,71,99,4.56,FO,overcast clouds
231,Caribou,46.8606,-68.012,41.43,89,100,20.71,US,moderate rain
232,Lodja,-3.4833,23.4333,66.22,99,98,1.45,CD,overcast clouds
233,Sinnamary,5.3833,-52.95,78.46,87,100,7.31,GF,overcast clouds
234,Coahuayana,18.7333,-103.6833,74.95,73,0,1.57,MX,clear sky
235,Ushtobe,45.2514,77.9838,57.65,32,4,3.87,KZ,clear sky
236,Kodiak,57.79,-152.4072,44.98,72,10,6.8,US,clear sky
237,Wattegama,6.7989,81.4808,80.98,80,2,3.33,LK,clear sky
238,Komsomolskiy,40.4272,71.7189,57.92,77,62,2.3,UZ,broken clouds
239,Richards Bay,-28.783,32.0377,61.3,85,38,5.7,ZA,scattered clouds
240,Tuy Hoa,13.0833,109.3,85.08,69,78,4.32,VN,broken clouds
241,Yar-Sale,66.8333,70.8333,15.87,80,82,6.8,RU,broken clouds
242,Hasaki,35.7333,140.8333,63.0,55,100,17.05,JP,overcast clouds
243,Portland,45.5234,-122.6762,55.96,68,100,4.0,US,overcast clouds
244,Colomiers,43.6167,1.35,58.95,94,100,3.44,FR,overcast clouds
245,Labrea,-7.2586,-64.7981,73.56,93,100,2.46,BR,overcast clouds
246,Hamilton,39.1834,-84.5333,51.64,65,36,5.61,US,scattered clouds
247,Sangar,63.9242,127.4739,24.64,86,100,6.58,RU,overcast clouds
248,Sao Jose Da Coroa Grande,-8.8978,-35.1478,77.63,81,98,4.38,BR,overcast clouds
249,East London,-33.0153,27.9116,58.46,70,0,6.26,ZA,clear sky
250,Curup,-3.4667,102.5333,75.78,80,94,3.24,ID,overcast clouds
251,Olafsvik,64.8945,-23.7142,43.0,73,46,2.82,IS,scattered clouds
252,Jaque,7.5175,-78.1703,79.05,86,100,0.94,PA,light rain
253,Cascais,38.6979,-9.4215,57.94,73,14,15.01,PT,few clouds
254,Nuevo Progreso,23.1667,-97.95,73.54,72,5,4.81,MX,clear sky
255,Sakakah,29.9697,40.2064,71.76,36,0,4.54,SA,clear sky
256,Saint-Pierre,-21.3393,55.4781,72.28,62,0,6.91,RE,clear sky
257,Guerrero Negro,27.9769,-114.0611,61.61,79,0,17.69,MX,clear sky
258,Moron,-34.6534,-58.6198,58.98,78,0,1.21,AR,clear sky
259,Sitka,57.0531,-135.33,46.18,66,100,3.98,US,overcast clouds
260,Pangnirtung,66.1451,-65.7125,2.26,75,71,10.02,CA,broken clouds
261,Lorengau,-2.0226,147.2712,86.7,67,78,10.09,PG,broken clouds
262,Roma,43.2128,-75.4557,37.38,81,100,12.66,US,overcast clouds
263,Champerico,14.3,-91.9167,84.88,67,45,8.16,GT,scattered clouds
264,Lucea,18.451,-78.1736,74.86,76,25,8.48,JM,scattered clouds
265,Yenagoa,4.9247,6.2642,72.54,97,100,2.75,NG,overcast clouds
266,Urbana,40.1106,-88.2073,56.77,66,100,14.27,US,overcast clouds
267,Nadym,65.5333,72.5167,23.63,81,63,4.36,RU,broken clouds
268,Treinta Y Tres,-33.2333,-54.3833,55.78,97,2,5.06,UY,clear sky
269,Morden,49.1919,-98.1014,44.35,81,100,5.46,CA,overcast clouds
270,Novyy Urgal,51.0736,132.5642,41.36,39,2,12.86,RU,clear sky
271,Havre-Saint-Pierre,50.2334,-63.5986,35.96,93,100,3.44,CA,overcast clouds
272,Biak,-0.9131,122.8766,81.45,76,100,4.25,ID,overcast clouds
273,Port Hedland,-20.3167,118.5667,84.25,48,40,4.61,AU,scattered clouds
274,Bridlington,54.0831,-0.1919,45.9,65,100,7.11,GB,overcast clouds
275,Itarema,-2.9248,-39.9167,76.69,88,97,8.28,BR,overcast clouds
276,Abu Samrah,35.3029,37.1841,64.85,43,88,2.06,SY,overcast clouds
277,Iqaluit,63.7506,-68.5145,13.73,72,100,21.85,CA,overcast clouds
278,San Cristobal,7.7669,-72.225,65.75,97,89,1.28,VE,overcast clouds
279,Maceio,-9.6658,-35.7353,76.44,88,40,2.3,BR,scattered clouds
280,Salalah,17.0151,54.0924,78.76,85,39,1.5,OM,scattered clouds
281,Spornoye,50.8448,37.2913,42.03,91,8,6.08,RU,clear sky
282,Palmer,42.1584,-72.3287,42.35,50,75,13.8,US,broken clouds
283,Fortuna,40.5982,-124.1573,52.93,74,100,5.01,US,overcast clouds
284,Nantucket,41.2835,-70.0995,49.14,55,5,31.38,US,clear sky
285,Tsurib,42.2368,46.8307,46.71,79,15,5.61,RU,few clouds
286,Villamontes,-21.25,-63.5,79.59,67,95,2.19,BO,overcast clouds
287,Aden,12.7794,45.0367,81.82,79,12,15.5,YE,few clouds
288,Te Anau,-45.4167,167.7167,57.13,65,7,0.58,NZ,clear sky
289,Caravelas,-17.7125,-39.2481,74.14,90,7,4.54,BR,clear sky
290,Ketchikan,55.3422,-131.6461,46.87,70,48,5.79,US,scattered clouds
291,Torbay,47.6666,-52.7314,37.27,91,58,1.01,CA,broken clouds
292,Jiayuguan,39.8167,98.3,55.63,26,100,6.2,CN,overcast clouds
293,Casas Grandes,30.3667,-107.95,74.44,9,84,13.51,MX,broken clouds
294,Port Lincoln,-34.7333,135.8667,75.92,45,4,16.6,AU,clear sky
295,Guane,22.2025,-84.0875,76.41,65,93,6.64,CU,overcast clouds
296,Mahon,39.8885,4.2658,57.76,94,0,6.91,ES,clear sky
297,Ouagadougou,12.3642,-1.5383,89.49,17,85,5.61,BF,overcast clouds
298,Svetlyy,54.675,20.1347,39.25,79,100,3.13,RU,overcast clouds
299,Hirara,24.8,125.2833,79.43,85,8,12.21,JP,clear sky
300,Sayat,38.7839,63.8803,71.92,28,97,12.48,TM,overcast clouds
301,Belmonte,-15.8631,-38.8828,75.79,86,4,6.64,BR,clear sky
302,Bethel,41.3712,-73.414,42.46,59,1,8.99,US,clear sky
303,Laguna,38.421,-121.4238,71.11,37,0,16.11,US,clear sky
304,Penzberg,47.75,11.3833,39.99,94,0,2.59,DE,clear sky
305,Pevek,69.7008,170.3133,35.1,79,100,16.06,RU,overcast clouds
306,Ostrovnoy,68.0531,39.5131,23.18,82,100,25.77,RU,overcast clouds
307,Leshan,29.5623,103.7639,65.91,79,100,3.96,CN,overcast clouds
308,Kaspiyskiy,45.3929,47.3707,57.25,83,0,7.54,RU,clear sky
309,Omboue,-1.5746,9.2618,75.09,93,89,4.81,GA,overcast clouds
310,Zwedru,6.0667,-8.1281,72.61,97,92,2.35,LR,overcast clouds
311,Lavrentiya,65.5833,-171.0,28.51,81,6,4.12,RU,clear sky
312,Faanui,-16.4833,-151.75,81.61,74,19,20.47,PF,few clouds
313,Chokurdakh,70.6333,147.9167,16.34,90,100,8.25,RU,overcast clouds
314,Gwadar,25.1216,62.3254,83.44,71,2,11.9,PK,clear sky
315,Leningradskiy,69.3833,178.4167,28.58,88,100,11.12,RU,overcast clouds
316,Hobyo,5.3505,48.5268,83.01,75,29,7.74,SO,scattered clouds
317,Kainantu,-6.2887,145.8655,76.68,53,93,4.5,PG,overcast clouds
318,Necochea,-38.5473,-58.7368,54.63,51,10,16.96,AR,clear sky
319,Vestmannaeyjar,63.4427,-20.2734,46.56,78,100,3.36,IS,overcast clouds
320,Evensk,61.95,159.2333,35.78,91,100,23.89,RU,overcast clouds
321,Georgetown,5.4112,100.3354,87.73,79,20,3.44,MY,light rain
322,Attock,33.7695,72.3611,81.55,22,1,3.69,PK,clear sky
323,Le Port,-20.9373,55.2919,72.61,71,5,5.3,RE,clear sky
324,Matara,5.9485,80.5353,81.75,80,35,1.5,LK,scattered clouds
325,Sao Felix Do Xingu,-6.6447,-51.995,70.9,97,79,1.5,BR,broken clouds
326,Baikunthpur,23.25,82.55,91.0,12,0,1.05,IN,clear sky
327,Peterhead,57.5058,-1.7981,36.0,80,5,7.9,GB,clear sky
328,Malanville,11.8685,3.3899,88.83,31,100,7.58,BJ,overcast clouds
329,Bubaque,11.2833,-15.8333,77.07,74,36,9.46,GW,scattered clouds
330,Ust-Tsilma,65.441,52.1498,19.13,87,44,5.48,RU,scattered clouds
331,Dicabisagan,17.0818,122.4157,85.95,68,14,6.02,PH,few clouds
332,Sundsvall,62.3913,17.3063,30.16,69,100,2.3,SE,overcast clouds
333,Lompoc,34.6391,-120.4579,61.79,76,0,13.8,US,clear sky
334,Inhambane,-23.865,35.3833,68.81,73,43,9.55,MZ,scattered clouds
335,Kushmurun,52.4503,64.6311,56.57,57,68,10.67,KZ,broken clouds
336,San Jose,37.3394,-121.895,63.28,51,75,12.66,US,broken clouds
337,Sao Miguel Do Araguaia,-13.275,-50.1628,72.32,68,27,2.55,BR,scattered clouds
338,Dalbandin,28.8947,64.4101,80.44,19,85,5.48,PK,overcast clouds
339,Kontagora,10.3999,5.4695,82.69,59,98,9.06,NG,overcast clouds
340,Luderitz,-26.6481,15.1594,63.05,58,0,4.94,NA,clear sky
341,Saint Anthony,45.0205,-93.218,47.71,46,0,12.66,US,clear sky
342,Sabang,5.8933,95.3214,84.34,75,98,9.71,ID,overcast clouds
343,Oranjemund,-28.55,16.4333,57.29,80,0,2.64,NA,clear sky
344,Susanville,40.4163,-120.653,58.91,41,0,14.97,US,clear sky
345,Gijon,43.5357,-5.6615,53.83,94,99,3.13,ES,overcast clouds
346,Broken Hill,-31.95,141.4333,72.1,49,80,12.44,AU,broken clouds
347,Rum,47.2978,11.4346,37.27,91,20,1.14,AT,few clouds
