City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
135,Tamandare,BR,77.22,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
138,Sarankhola,BD,88.95,clear sky,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
141,San Patricio,US,75.83,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
142,Sorong,ID,78.6,light rain,-0.8833,131.25,Waigo Splash Hotel
146,Axim,GH,79.14,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
150,Bengkulu,ID,81.1,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
154,Sabha,LY,75.69,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
158,Sumbe,AO,75.99,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
159,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
160,Victoria,HK,87.96,few clouds,22.2855,114.1577,Mini Hotel Central
164,Keti Bandar,PK,81.99,clear sky,24.1447,67.4497,Haji laloo memon house
172,Del Rio,US,78.24,overcast clouds,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
174,Sao Joao Da Barra,BR,75.54,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
180,Doha,QA,78.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
185,San Matias,BO,79.48,broken clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
187,Bilma,NE,85.66,clear sky,18.6853,12.9164,Expeditions Ténére voyages
188,Acajutla,SV,83.68,overcast clouds,13.5928,-89.8275,Laureles
189,Daru,PG,83.66,scattered clouds,-9.0763,143.2092,Daru Lodge
190,Chake Chake,TZ,75.97,moderate rain,-5.2459,39.7666,Hotel Archipelago
196,Pundaguitan,PH,80.13,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
201,Dingle,PH,84.38,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
208,Sola,VU,80.67,moderate rain,-13.8833,167.55,Leumerus Bungalows
209,Monrovia,LR,79.72,scattered clouds,6.3005,-10.7969,Sunset Inn
215,Ormara,PK,82.67,clear sky,25.2088,64.6357,Kenara Colony house for Rent
216,Moerai,PF,79.81,few clouds,-22.4333,-151.3333,Le Manotel
222,Bonthe,SL,80.04,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
223,Sarangani,PH,80.92,broken clouds,5.4033,125.4636,Ballistic Islet
233,Sinnamary,GF,78.46,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
240,Tuy Hoa,VN,85.08,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
248,Sao Jose Da Coroa Grande,BR,77.63,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
250,Curup,ID,75.78,overcast clouds,-3.4667,102.5333,Ayi The Costel
252,Jaque,PA,79.05,light rain,7.5175,-78.1703,Aventuras Jaque S.A
261,Lorengau,PG,86.7,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
263,Champerico,GT,84.88,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
272,Biak,ID,81.45,overcast clouds,-0.9131,122.8766,Penginapan Kim
273,Port Hedland,AU,84.25,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
275,Itarema,BR,76.69,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
279,Maceio,BR,76.44,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
280,Salalah,OM,78.76,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
286,Villamontes,BO,79.59,overcast clouds,-21.25,-63.5,Hotel Raldes
287,Aden,YE,81.82,few clouds,12.7794,45.0367,Sama Emirate Hotel
294,Port Lincoln,AU,75.92,clear sky,-34.7333,135.8667,Port Lincoln Hotel
295,Guane,CU,76.41,overcast clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
297,Ouagadougou,BF,89.49,overcast clouds,12.3642,-1.5383,Pacific Hôtel
299,Hirara,JP,79.43,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
301,Belmonte,BR,75.79,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
309,Omboue,GA,75.09,overcast clouds,-1.5746,9.2618,Hotel Olako
